id;X;Y;Z;dist1;dist2;dist3
425;3.1;0;1.263399;4.086435;1.970134;4.086435
426;3.1;0;1.063399;4.28601;2.107591;4.28601
427;3.1;0;0.863399;4.485622;2.25443;4.485622
428;3.1;0;0.663399;4.685268;2.408935;4.685268
429;3.1;0;0.463399;4.884943;2.569724;4.884943
430;3.1;0;0.263399;5.084643;2.735689;5.084643
431;3.1;0;0.063399;5.284366;2.905944;5.284366
432;3.3;0;5.263399;0.479091;3.178497;0.479091
433;3.3;0;5.063399;0.548139;3.010541;0.548139
434;3.3;0;4.863399;0.671851;2.84673;0.671851
435;3.3;0;4.663399;0.826021;2.687821;0.826021
436;3.3;0;4.463399;0.996614;2.534738;0.996614
437;3.3;0;4.263399;1.176506;2.3886;1.176506
438;3.3;0;4.063399;1.362018;2.250761;1.362018
439;3.3;0;3.863399;1.551135;2.122837;1.551135
440;3.3;0;3.663399;1.742684;2.006727;1.742684
441;3.3;0;3.463399;1.935943;1.904591;1.935943
442;3.3;0;3.263399;2.130447;1.818785;2.130447
443;3.3;0;3.063399;2.325883;1.751711;2.325883
444;3.3;0;2.863399;2.522035;1.705581;2.522035
445;3.3;0;2.663399;2.718747;1.682118;2.718747
446;3.3;0;2.463399;2.915907;1.68227;2.915907
447;3.3;0;2.263399;3.113429;1.706033;3.113429
448;3.3;0;2.063399;3.311249;1.752444;3.311249
449;3.3;0;1.863399;3.509316;1.819773;3.509316
450;3.3;0;1.663399;3.70759;1.905804;3.70759
451;3.3;0;1.463399;3.90604;2.008134;3.90604
452;3.3;0;1.263399;4.104641;2.124409;4.104641
453;3.3;0;1.063399;4.303371;2.252472;4.303371
454;3.3;0;0.863399;4.502214;2.390427;4.502214
455;3.3;0;0.663399;4.701155;2.536662;4.701155
456;3.3;0;0.463399;4.900183;2.689827;4.900183
457;3.3;0;0.263399;5.099286;2.848804;5.099286
458;3.3;0;0.063399;5.298457;3.012673;5.298457
459;3.5;0;5.263399;0.677239;3.288545;0.677239
460;3.5;0;5.063399;0.727723;3.126507;0.727723
461;3.5;0;4.863399;0.824929;2.969101;0.824929
462;3.5;0;4.663399;0.954691;2.817103;0.954691
463;3.5;0;4.463399;1.105605;2.671439;1.105605
464;3.5;0;4.263399;1.270154;2.533199;1.270154
465;3.5;0;4.063399;1.443682;2.403666;1.443682
466;3.5;0;3.863399;1.623313;2.284322;1.623313
467;3.5;0;3.663399;1.807228;2.176842;1.807228
468;3.5;0;3.463399;1.994242;2.083063;1.994242
469;3.5;0;3.263399;2.183559;2.004911;2.183559
470;3.5;0;3.063399;2.374627;1.944269;2.374627
471;3.5;0;2.863399;2.567057;1.902812;2.567057
472;3.5;0;2.663399;2.760563;1.88181;2.760563
473;3.5;0;2.463399;2.954935;1.881946;2.954935
474;3.5;0;2.263399;3.15001;1.903217;3.15001
475;3.5;0;2.063399;3.345668;1.944929;3.345668
476;3.5;0;1.863399;3.54181;2.005807;3.54181
477;3.5;0;1.663399;3.738362;2.084173;3.738362
478;3.5;0;1.463399;3.935261;2.178139;3.935261
479;3.5;0;1.263399;4.132457;2.285783;4.132457
480;3.5;0;1.063399;4.329911;2.405269;4.329911
481;3.5;0;0.863399;4.527589;2.534922;4.527589
482;3.5;0;0.663399;4.725461;2.673265;4.725461
483;3.5;0;0.463399;4.923506;2.819017;4.923506
484;3.5;0;0.263399;5.121703;2.971089;5.121703
485;3.5;0;0.063399;5.320035;3.12856;5.320035
486;3.7;0;5.263399;0.876229;3.40679;0.876229
487;3.7;0;5.063399;0.915808;3.250651;0.915808
488;3.7;0;4.863399;0.994803;3.099556;0.994803
489;3.7;0;4.663399;1.10479;2.954278;1.10479
490;3.7;0;4.463399;1.237533;2.815719;1.237533
491;3.7;0;4.263399;1.386512;2.684918;1.386512
492;3.7;0;4.063399;1.547043;2.563065;1.547043
493;3.7;0;3.863399;1.715888;2.451492;1.715888
